timestamp,epoch,iteration,loss,throughput_samp_s,comm_latency_ms,iter_time_ms,rank,world_size,arch
1778545237.8026347,1,61,1.709104,94.25,274.744,1354.082,3,4,compressed_ring_ar
1778545239.3440294,1,62,1.805316,85.9,217.772,1487.993,3,4,compressed_ring_ar
1778545240.6850164,1,63,1.995009,98.2,264.185,1301.163,3,4,compressed_ring_ar
1778545242.1116893,1,64,1.734708,93.42,196.63,1368.709,3,4,compressed_ring_ar
1778545243.6018388,1,65,1.91422,88.4,202.402,1446.611,3,4,compressed_ring_ar
1778545244.919657,1,66,1.831893,100.17,339.323,1275.295,3,4,compressed_ring_ar
1778545246.2268426,1,67,1.807542,100.97,225.514,1266.342,3,4,compressed_ring_ar
1778545247.6164474,1,68,1.76507,95.11,277.518,1344.497,3,4,compressed_ring_ar
1778545249.0472937,1,69,1.845794,92.31,219.54,1381.941,3,4,compressed_ring_ar
1778545250.4927597,1,70,1.798463,91.22,190.821,1400.272,3,4,compressed_ring_ar
1778545252.0957122,1,71,1.840629,84.08,419.805,1521.27,3,4,compressed_ring_ar
1778545253.409255,1,72,1.660173,100.42,261.223,1273.165,3,4,compressed_ring_ar
1778545254.8094788,1,73,1.926033,94.89,340.433,1343.334,3,4,compressed_ring_ar
1778545256.126165,1,74,1.671227,100.38,216.833,1273.85,3,4,compressed_ring_ar
1778545257.5560002,1,75,1.863388,92.83,209.603,1377.549,3,4,compressed_ring_ar
1778545258.9979408,1,76,1.772746,91.71,318.714,1391.219,3,4,compressed_ring_ar
1778545260.3944921,1,77,1.718772,96.4,204.023,1326.512,3,4,compressed_ring_ar
1778545261.7600677,1,78,1.814988,96.79,269.517,1321.096,3,4,compressed_ring_ar
1778545263.098021,1,79,1.710045,99.41,201.271,1285.435,3,4,compressed_ring_ar
1778545264.4171064,1,80,1.78748,101.23,215.667,1263.037,3,4,compressed_ring_ar
1778545265.7969415,1,81,1.863932,96.12,206.13,1329.237,3,4,compressed_ring_ar
1778545267.209756,1,82,1.622355,94.2,512.266,1355.884,3,4,compressed_ring_ar
1778545268.6730134,1,83,1.624045,89.99,195.082,1420.261,3,4,compressed_ring_ar
1778545270.1939573,1,84,1.735886,86.64,200.246,1475.96,3,4,compressed_ring_ar
1778545271.6399453,1,85,1.764835,91.61,298.303,1392.821,3,4,compressed_ring_ar
1778545273.0185184,1,86,1.77233,96.36,219.861,1326.999,3,4,compressed_ring_ar
1778545274.3779738,1,87,1.665856,97.92,296.647,1304.862,3,4,compressed_ring_ar
1778545275.8492222,1,88,1.659443,89.05,466.535,1435.909,3,4,compressed_ring_ar
1778545277.534897,1,89,1.818789,78.66,295.081,1625.778,3,4,compressed_ring_ar
1778545279.038885,1,90,1.697102,88.95,220.58,1437.784,3,4,compressed_ring_ar
1778545280.3501682,1,91,1.661034,101.27,185.056,1262.521,3,4,compressed_ring_ar
1778545281.7839563,1,92,1.647007,91.49,371.868,1396.463,3,4,compressed_ring_ar
1778545283.1941755,1,93,1.705269,95.24,330.006,1342.202,3,4,compressed_ring_ar
1778545284.5321906,1,94,1.771264,98.38,467.599,1298.848,3,4,compressed_ring_ar
1778545285.9509656,1,95,1.778661,93.25,396.229,1371.385,3,4,compressed_ring_ar
1778545287.4049008,1,96,1.802319,91.63,198.694,1395.739,3,4,compressed_ring_ar
1778545288.7478063,1,97,1.618538,63.87,209.937,1306.138,3,4,compressed_ring_ar
1778545300.4680657,2,0,1.674564,87.64,386.948,1458.811,3,4,compressed_ring_ar
1778545301.8965907,2,1,1.630277,93.83,198.606,1359.749,3,4,compressed_ring_ar
1778545303.3912053,2,2,1.631138,88.36,343.57,1447.169,3,4,compressed_ring_ar
1778545304.5442288,2,3,1.700616,118.03,191.371,1079.384,3,4,compressed_ring_ar
1778545305.7892685,2,4,1.846362,106.45,195.898,1197.805,3,4,compressed_ring_ar
1778545307.1759539,2,5,1.857867,95.6,188.004,1334.484,3,4,compressed_ring_ar
1778545308.660901,2,6,1.731851,92.53,208.846,1378.835,3,4,compressed_ring_ar
1778545309.7752674,2,7,1.629799,120.53,312.43,1059.47,3,4,compressed_ring_ar
1778545311.2268848,2,8,1.75544,90.81,249.276,1406.991,3,4,compressed_ring_ar
1778545312.5232792,2,9,1.609341,104.34,151.021,1224.2,3,4,compressed_ring_ar
1778545314.0434105,2,10,1.688687,87.92,363.859,1453.891,3,4,compressed_ring_ar
1778545315.3530517,2,11,1.71913,100.74,240.435,1267.756,3,4,compressed_ring_ar
1778545316.6839406,2,12,1.654099,100.64,333.081,1269.365,3,4,compressed_ring_ar
1778545318.0165255,2,13,1.597928,99.41,233.876,1286.306,3,4,compressed_ring_ar
1778545319.3417168,2,14,1.626,99.84,201.183,1277.443,3,4,compressed_ring_ar
1778545320.6438773,2,15,1.661888,101.5,229.234,1259.694,3,4,compressed_ring_ar
1778545321.9514291,2,16,1.665512,101.46,153.489,1260.293,3,4,compressed_ring_ar
1778545323.2935343,2,17,1.65958,100.05,328.541,1278.259,3,4,compressed_ring_ar
1778545324.682817,2,18,1.6553,96.27,359.71,1327.064,3,4,compressed_ring_ar
1778545326.0063696,2,19,1.616345,100.87,214.479,1263.771,3,4,compressed_ring_ar
1778545327.2727072,2,20,1.715404,104.27,291.246,1222.963,3,4,compressed_ring_ar
1778545328.5179238,2,21,1.618757,107.17,148.262,1192.218,3,4,compressed_ring_ar
1778545329.8017807,2,22,1.680993,103.67,268.472,1233.239,3,4,compressed_ring_ar
1778545331.1274047,2,23,1.734474,100.1,180.395,1274.666,3,4,compressed_ring_ar
1778545332.3340333,2,24,1.64147,109.8,191.471,1165.379,3,4,compressed_ring_ar
1778545333.7075477,2,25,1.638513,98.02,685.604,1304.649,3,4,compressed_ring_ar
1778545335.079777,2,26,1.624442,99.4,392.781,1287.245,3,4,compressed_ring_ar
1778545336.5988016,2,27,1.594197,91.69,348.308,1393.78,3,4,compressed_ring_ar
1778545337.9046824,2,28,1.617146,102.47,332.217,1246.644,3,4,compressed_ring_ar
1778545339.2143583,2,29,1.671393,101.05,377.567,1264.565,3,4,compressed_ring_ar
1778545340.421444,2,30,1.694232,109.87,295.745,1163.813,3,4,compressed_ring_ar
1778545341.652224,2,31,1.662524,111.34,323.111,1148.09,3,4,compressed_ring_ar
1778545342.9565697,2,32,1.667767,105.11,337.32,1215.254,3,4,compressed_ring_ar
1778545344.3519979,2,33,1.589604,98.0,770.77,1305.404,3,4,compressed_ring_ar
1778545345.6266558,2,34,1.571507,106.86,587.34,1196.701,3,4,compressed_ring_ar
1778545347.0476444,2,35,1.681831,95.05,392.461,1344.478,3,4,compressed_ring_ar
1778545348.1594112,2,36,1.582898,120.47,317.111,1061.584,3,4,compressed_ring_ar
1778545349.415322,2,37,1.66328,109.52,628.853,1167.761,3,4,compressed_ring_ar
1778545350.7122736,2,38,1.609832,105.44,629.83,1211.579,3,4,compressed_ring_ar
1778545351.9972692,2,39,1.605239,104.74,422.322,1219.662,3,4,compressed_ring_ar
1778545353.350062,2,40,1.526954,97.35,316.253,1313.218,3,4,compressed_ring_ar
1778545354.7894003,2,41,1.666412,92.23,238.862,1385.71,3,4,compressed_ring_ar
1778545356.2266495,2,42,1.560633,91.94,243.47,1390.845,3,4,compressed_ring_ar
1778545357.6585295,2,43,1.672339,91.6,407.973,1395.569,3,4,compressed_ring_ar
1778545358.958022,2,44,1.7082,101.86,472.31,1254.342,3,4,compressed_ring_ar
1778545360.4178424,2,45,1.748339,92.94,360.893,1374.694,3,4,compressed_ring_ar
1778545361.618298,2,46,1.63545,111.68,320.618,1143.402,3,4,compressed_ring_ar
1778545362.9428487,2,47,1.564019,100.45,324.913,1269.662,3,4,compressed_ring_ar
1778545364.2542493,2,48,1.613842,100.55,312.569,1269.091,3,4,compressed_ring_ar
1778545365.4697165,2,49,1.668747,108.89,229.674,1172.748,3,4,compressed_ring_ar
