timestamp,epoch,train_loss,val_loss,val_acc,rank,world_size,arch
1778535043.6601298,1,1.807217,1.566273,43.23,0,4,compressed_ring_ar
1778535125.8560169,2,1.379826,1.292289,51.87,0,4,compressed_ring_ar
1778535209.3711493,3,1.192045,1.130416,59.53,0,4,compressed_ring_ar
1778535292.2123609,4,1.048506,1.166814,60.2,0,4,compressed_ring_ar
1778535376.0043876,5,0.93558,0.95181,66.43,0,4,compressed_ring_ar
1778535459.923939,6,0.86135,0.930568,67.86,0,4,compressed_ring_ar
1778535543.1969469,7,0.798705,0.766817,72.66,0,4,compressed_ring_ar
1778535626.5106971,8,0.744612,0.82061,71.99,0,4,compressed_ring_ar
1778535710.6860638,9,0.690433,0.735631,73.76,0,4,compressed_ring_ar
1778535794.6785622,10,0.626522,0.711554,76.19,0,4,compressed_ring_ar
1778535878.790388,11,0.599215,0.671425,77.24,0,4,compressed_ring_ar
1778535961.9306602,12,0.571496,0.659351,77.56,0,4,compressed_ring_ar
1778536045.951229,13,0.548092,0.616937,79.06,0,4,compressed_ring_ar
1778536129.571267,14,0.530088,0.585526,79.7,0,4,compressed_ring_ar
1778536213.7277498,15,0.517002,0.56314,80.94,0,4,compressed_ring_ar
1778536297.529173,16,0.484698,0.563309,80.51,0,4,compressed_ring_ar
1778536380.727702,17,0.490827,0.548507,81.51,0,4,compressed_ring_ar
1778536464.4108117,18,0.475668,0.537909,81.74,0,4,compressed_ring_ar
1778536548.1933668,19,0.458269,0.532441,81.91,0,4,compressed_ring_ar
1778536631.8297045,20,0.444761,0.529943,81.95,0,4,compressed_ring_ar
