timestamp,epoch,iteration,loss,throughput_samp_s,comm_latency_ms,iter_time_ms,rank,world_size,arch
1778536734.8186033,1,61,1.679655,105.24,193.502,1211.719,0,4,compressed_ring_ar
1778536736.0552623,1,62,1.695718,106.69,329.96,1197.642,0,4,compressed_ring_ar
1778536737.3727107,1,63,1.849612,100.43,146.219,1273.258,0,4,compressed_ring_ar
1778536738.737916,1,64,1.70157,97.71,438.249,1303.384,0,4,compressed_ring_ar
1778536740.1539552,1,65,1.828929,93.21,202.67,1371.246,0,4,compressed_ring_ar
1778536741.5244808,1,66,1.682521,96.25,265.005,1328.434,0,4,compressed_ring_ar
1778536742.9051464,1,67,1.8098,95.88,289.952,1328.207,0,4,compressed_ring_ar
1778536744.0613034,1,68,1.666012,115.22,129.917,1108.422,0,4,compressed_ring_ar
1778536745.5989559,1,69,1.750407,87.78,612.121,1456.912,0,4,compressed_ring_ar
1778536746.9826198,1,70,1.796293,95.91,399.131,1329.557,0,4,compressed_ring_ar
1778536748.315635,1,71,1.758528,100.73,197.266,1265.951,0,4,compressed_ring_ar
1778536749.5961285,1,72,1.65243,103.33,189.099,1233.565,0,4,compressed_ring_ar
1778536750.8933456,1,73,1.519071,101.53,243.89,1254.469,0,4,compressed_ring_ar
1778536752.162471,1,74,1.730035,104.05,219.585,1228.76,0,4,compressed_ring_ar
1778536753.6060681,1,75,1.795558,91.43,246.965,1395.606,0,4,compressed_ring_ar
1778536754.7337298,1,76,1.82964,120.67,316.301,1056.482,0,4,compressed_ring_ar
1778536756.0511074,1,77,1.760953,101.08,211.849,1260.046,0,4,compressed_ring_ar
1778536757.3937314,1,78,1.698402,97.86,433.013,1303.313,0,4,compressed_ring_ar
1778536758.5742269,1,79,1.82881,113.04,297.379,1131.236,0,4,compressed_ring_ar
1778536759.8311007,1,80,1.639068,106.37,198.683,1201.283,0,4,compressed_ring_ar
1778536761.0279658,1,81,1.730861,111.09,188.394,1150.08,0,4,compressed_ring_ar
1778536762.5306482,1,82,1.694017,88.91,447.69,1434.093,0,4,compressed_ring_ar
1778536763.9295242,1,83,1.729693,94.16,195.856,1354.707,0,4,compressed_ring_ar
1778536765.3229125,1,84,1.668975,94.95,256.353,1343.402,0,4,compressed_ring_ar
1778536766.6308477,1,85,1.735091,102.09,322.711,1246.945,0,4,compressed_ring_ar
1778536767.9223835,1,86,1.835522,102.81,327.023,1240.932,0,4,compressed_ring_ar
1778536769.1276102,1,87,1.693021,111.43,191.039,1144.319,0,4,compressed_ring_ar
1778536770.4241686,1,88,1.841561,101.93,234.313,1248.418,0,4,compressed_ring_ar
1778536771.6808197,1,89,1.732418,104.79,256.457,1216.622,0,4,compressed_ring_ar
1778536773.032069,1,90,1.691481,97.63,348.122,1301.839,0,4,compressed_ring_ar
1778536774.2893841,1,91,1.668798,104.8,267.068,1216.806,0,4,compressed_ring_ar
1778536775.5603917,1,92,1.59479,104.29,198.817,1226.069,0,4,compressed_ring_ar
1778536776.9782395,1,93,1.672405,94.72,235.319,1347.102,0,4,compressed_ring_ar
1778536778.2450657,1,94,1.713746,104.53,191.893,1215.164,0,4,compressed_ring_ar
1778536779.4060261,1,95,1.63303,113.67,138.21,1124.74,0,4,compressed_ring_ar
1778536780.8713944,1,96,1.592522,90.84,484.917,1405.568,0,4,compressed_ring_ar
1778536782.1108499,1,97,1.615446,69.96,193.364,1196.582,0,4,compressed_ring_ar
1778536794.1060474,2,0,1.631477,82.88,514.821,1543.054,0,4,compressed_ring_ar
1778536795.4084914,2,1,1.643022,103.22,236.505,1238.169,0,4,compressed_ring_ar
1778536796.6808574,2,2,1.64785,104.81,321.444,1218.269,0,4,compressed_ring_ar
1778536798.0413504,2,3,1.650608,97.35,304.789,1313.58,0,4,compressed_ring_ar
1778536799.3763835,2,4,1.612268,99.21,234.808,1285.755,0,4,compressed_ring_ar
1778536800.719908,2,5,1.469847,98.85,194.402,1291.286,0,4,compressed_ring_ar
1778536801.985056,2,6,1.556853,105.05,227.993,1212.129,0,4,compressed_ring_ar
1778536803.3322887,2,7,1.540557,98.57,237.159,1293.021,0,4,compressed_ring_ar
1778536804.55183,2,8,1.659394,110.11,213.069,1157.177,0,4,compressed_ring_ar
1778536805.9387548,2,9,1.614034,95.25,235.437,1339.022,0,4,compressed_ring_ar
1778536807.2315013,2,10,1.750124,102.67,207.325,1245.532,0,4,compressed_ring_ar
1778536808.6603973,2,11,1.692752,93.74,208.34,1362.71,0,4,compressed_ring_ar
1778536809.9461377,2,12,1.747999,103.73,174.411,1228.731,0,4,compressed_ring_ar
1778536811.313494,2,13,1.66605,96.47,228.292,1319.922,0,4,compressed_ring_ar
1778536812.6738424,2,14,1.686522,96.9,199.547,1317.176,0,4,compressed_ring_ar
1778536814.0480685,2,15,1.67371,96.61,184.949,1314.96,0,4,compressed_ring_ar
1778536815.286256,2,16,1.542198,106.45,211.104,1198.424,0,4,compressed_ring_ar
1778536816.5993,2,17,1.656084,100.43,285.302,1269.727,0,4,compressed_ring_ar
1778536817.792493,2,18,1.584429,112.79,205.135,1125.049,0,4,compressed_ring_ar
1778536819.0848618,2,19,1.600188,101.83,312.497,1250.395,0,4,compressed_ring_ar
1778536820.447635,2,20,1.608862,97.48,199.812,1311.781,0,4,compressed_ring_ar
1778536821.7955494,2,21,1.636393,98.83,196.22,1293.835,0,4,compressed_ring_ar
1778536823.221777,2,22,1.634402,92.61,244.711,1375.487,0,4,compressed_ring_ar
1778536824.5145974,2,23,1.6719,103.74,306.657,1227.264,0,4,compressed_ring_ar
1778536825.738863,2,24,1.552036,108.26,216.837,1178.342,0,4,compressed_ring_ar
1778536827.1057866,2,25,1.699861,96.31,205.699,1327.937,0,4,compressed_ring_ar
1778536828.2109401,2,26,1.698443,122.99,207.497,1039.4,0,4,compressed_ring_ar
1778536829.5188346,2,27,1.457918,101.69,308.554,1254.245,0,4,compressed_ring_ar
1778536830.7773347,2,28,1.631791,105.42,196.176,1212.794,0,4,compressed_ring_ar
1778536832.0904002,2,29,1.710309,101.07,294.435,1265.313,0,4,compressed_ring_ar
1778536833.334046,2,30,1.454047,107.1,220.052,1188.828,0,4,compressed_ring_ar
1778536834.585433,2,31,1.555935,108.41,220.363,1175.316,0,4,compressed_ring_ar
1778536835.7940204,2,32,1.737454,109.61,331.134,1162.437,0,4,compressed_ring_ar
1778536837.042544,2,33,1.479483,105.85,271.974,1204.941,0,4,compressed_ring_ar
1778536838.274563,2,34,1.553822,108.66,196.264,1175.496,0,4,compressed_ring_ar
1778536839.6063619,2,35,1.631676,99.48,240.386,1279.988,0,4,compressed_ring_ar
1778536840.7427623,2,36,1.655861,116.57,232.024,1096.282,0,4,compressed_ring_ar
1778536842.16802,2,37,1.508052,92.98,386.407,1370.781,0,4,compressed_ring_ar
1778536843.5152526,2,38,1.586973,98.73,323.906,1295.075,0,4,compressed_ring_ar
1778536844.816164,2,39,1.549201,102.92,191.231,1236.763,0,4,compressed_ring_ar
1778536846.1490703,2,40,1.584478,98.81,289.163,1288.437,0,4,compressed_ring_ar
1778536847.3999949,2,41,1.65393,107.39,209.694,1190.047,0,4,compressed_ring_ar
1778536848.643864,2,42,1.543485,106.92,308.752,1193.287,0,4,compressed_ring_ar
1778536850.0104506,2,43,1.578161,96.82,209.172,1320.588,0,4,compressed_ring_ar
1778536851.389647,2,44,1.616726,96.55,211.776,1316.174,0,4,compressed_ring_ar
1778536852.7085333,2,45,1.506125,100.86,274.116,1265.17,0,4,compressed_ring_ar
1778536854.1361747,2,46,1.401115,92.32,243.302,1379.055,0,4,compressed_ring_ar
1778536855.450471,2,47,1.662908,100.46,245.941,1270.28,0,4,compressed_ring_ar
1778536856.8554113,2,48,1.558004,95.48,195.689,1339.481,0,4,compressed_ring_ar
1778536858.1904912,2,49,1.501629,99.65,196.222,1277.543,0,4,compressed_ring_ar
1778536859.4948173,2,50,1.450224,101.65,244.734,1254.336,0,4,compressed_ring_ar
1778536860.905411,2,51,1.551906,96.13,220.883,1323.977,0,4,compressed_ring_ar
1778536862.2134922,2,52,1.487095,101.2,293.445,1257.285,0,4,compressed_ring_ar
1778536863.6096454,2,53,1.586754,95.74,361.396,1329.686,0,4,compressed_ring_ar
1778536865.0615993,2,54,1.54818,91.2,278.367,1398.644,0,4,compressed_ring_ar
1778536866.384429,2,55,1.562572,99.95,222.434,1273.026,0,4,compressed_ring_ar
1778536867.578402,2,56,1.422901,110.63,297.768,1155.581,0,4,compressed_ring_ar
1778536868.9808915,2,57,1.515252,94.35,201.535,1350.41,0,4,compressed_ring_ar
1778536870.2670765,2,58,1.711027,102.6,285.373,1246.628,0,4,compressed_ring_ar
1778536871.5787797,2,59,1.518652,101.8,211.02,1251.206,0,4,compressed_ring_ar
1778536872.97952,2,60,1.578635,94.12,239.403,1356.433,0,4,compressed_ring_ar
1778536874.562598,2,61,1.44588,83.97,253.15,1518.819,0,4,compressed_ring_ar
1778536875.9199078,2,62,1.571537,97.26,241.231,1311.984,0,4,compressed_ring_ar
1778536877.1236215,2,63,1.541393,109.61,225.254,1166.396,0,4,compressed_ring_ar
1778536878.4562893,2,64,1.565888,99.66,185.71,1277.01,0,4,compressed_ring_ar
1778536879.7987568,2,65,1.623176,98.2,194.405,1296.222,0,4,compressed_ring_ar
1778536881.4373283,2,66,1.549071,80.4,241.651,1590.787,0,4,compressed_ring_ar
1778536882.740358,2,67,1.44151,103.47,248.363,1232.16,0,4,compressed_ring_ar
1778536884.1169074,2,68,1.447328,96.02,202.519,1325.599,0,4,compressed_ring_ar
1778536885.56996,2,69,1.544068,90.85,192.977,1406.158,0,4,compressed_ring_ar
1778536886.946298,2,70,1.62378,96.68,311.369,1318.774,0,4,compressed_ring_ar
1778536888.301049,2,71,1.491268,98.35,226.743,1292.579,0,4,compressed_ring_ar
1778536889.7452285,2,72,1.511008,91.14,370.071,1399.294,0,4,compressed_ring_ar
1778536891.1310325,2,73,1.593004,95.71,295.537,1330.57,0,4,compressed_ring_ar
1778536892.6603909,2,74,1.605289,86.73,240.564,1471.839,0,4,compressed_ring_ar
1778536894.2225246,2,75,1.575423,84.77,332.784,1505.432,0,4,compressed_ring_ar
1778536895.8137946,2,76,1.553282,83.23,209.167,1533.531,0,4,compressed_ring_ar
1778536897.2936652,2,77,1.524002,90.04,206.202,1416.872,0,4,compressed_ring_ar
1778536898.7302246,2,78,1.564827,93.18,220.747,1369.21,0,4,compressed_ring_ar
1778536900.1831408,2,79,1.63614,91.01,223.438,1405.246,0,4,compressed_ring_ar
