timestamp,epoch,train_loss,val_loss,val_acc,rank,world_size,arch
1778542462.3331747,1,2.024663,4.104503,18.28,0,4,compressed_ring_ar
1778542602.5657768,2,2.005803,2.258767,29.83,0,4,compressed_ring_ar
1778542742.5726693,3,2.029614,2.034194,31.63,0,4,compressed_ring_ar
1778542882.1225324,4,1.985475,1.984931,34.32,0,4,compressed_ring_ar
1778543021.0368164,5,1.936675,2.199622,33.12,0,4,compressed_ring_ar
1778543162.0004783,6,1.891586,1.82196,37.29,0,4,compressed_ring_ar
1778543301.4929054,7,1.840378,1.780953,37.22,0,4,compressed_ring_ar
1778543441.5147703,8,1.813993,1.777015,37.66,0,4,compressed_ring_ar
1778543582.0874536,9,1.774784,1.800691,39.02,0,4,compressed_ring_ar
1778543721.920079,10,1.713443,1.731877,40.68,0,4,compressed_ring_ar
1778543861.3861754,11,1.672224,1.609656,42.64,0,4,compressed_ring_ar
1778544001.4516022,12,1.65148,1.595901,42.92,0,4,compressed_ring_ar
1778544140.8510787,13,1.603153,1.546196,44.24,0,4,compressed_ring_ar
1778544283.3731446,14,1.589581,1.542783,44.21,0,4,compressed_ring_ar
1778544425.0058968,15,1.590138,1.523438,44.21,0,4,compressed_ring_ar
1778544566.513654,16,1.544567,1.516905,44.78,0,4,compressed_ring_ar
1778544707.7901988,17,1.551355,1.510065,45.17,0,4,compressed_ring_ar
1778544848.141219,18,1.532161,1.488743,45.45,0,4,compressed_ring_ar
1778544989.2170398,19,1.537565,1.499861,45.47,0,4,compressed_ring_ar
1778545128.7871187,20,1.53147,1.498108,45.39,0,4,compressed_ring_ar
